"strain","seedbank","price","currency","url","source","file"
"Dexter .02","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/dexter-02","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"Dexter .02","northcoastgenetics.com","100","EUR","https://northcoastgenetics.com/product/dexter-02","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"DOUBLE DARK DURBAN","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/double-dark-durban","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"DOUBLE DARK DURBAN","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/double-dark-durban","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"Durban Poison (Kwazulu Valley – Locally sourced.)","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/durban-poison","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"Durban Poison (Kwazulu Valley – Locally sourced.)","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/durban-poison","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"DURBAN POISON X CEMENT SHOES","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/durban-poison-x-cement-shoes","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"DURBAN POISON X CEMENT SHOES","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/durban-poison-x-cement-shoes","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"DURBAN POISON X CEMENT SHOES","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/durban-poison-x-cement-shoes","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\products_final.json"
"DURBAN POISON X CEMENT SHOES","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/durban-poison-x-cement-shoes","json_by_host","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\analysis\json_by_host\northcoastgenetics.com.json"
"Fan Favorites","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product-category/fan-favorites","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\northcoastgenetics.com_wp-json_wc_store_products_categories.json"
"Fan Favorites","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product-category/fan-favorites","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\northcoastgenetics.com_wp-json_wp_v2_product_cat.json"
"Feminized Road Kill Skunk","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/feminized-road-kill-skunk","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"Feminized Road Kill Skunk","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/feminized-road-kill-skunk","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\northcoastgenetics.com_wp-json_wp_v2_product.json"
"Feminized Road Kill Skunk","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/feminized-road-kill-skunk","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"Feminized Road Kill Skunk","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/feminized-road-kill-skunk","json_by_host","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\analysis\json_by_host\northcoastgenetics.com.json"
"Feminized Road Kill Skunk","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/feminized-road-kill-skunk","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\products_final.json"
"Flower Cycle","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/category/flower-cycle","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\northcoastgenetics.com_wp-json_wp_v2_categories.json"
"FREAK BERRY FREAK","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/freak-berry-freak","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"FREAK BERRY FREAK","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/freak-berry-freak","json_by_host","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\analysis\json_by_host\northcoastgenetics.com.json"
"FREAK BERRY FREAK","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/freak-berry-freak","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\products_final.json"
"FREAK BERRY FREAK","northcoastgenetics.com","50","EUR","https://northcoastgenetics.com/product/freak-berry-freak","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"GIRL SCOUT COOKIES X WEDDING CAKE","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/girl-scout-cookies-x-wedding-cake","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"GIRL SCOUT COOKIES X WEDDING CAKE","northcoastgenetics.com","40","EUR","https://northcoastgenetics.com/product/girl-scout-cookies-x-wedding-cake","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"Grow Mediums","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/category/grow-mediums","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\northcoastgenetics.com_wp-json_wp_v2_categories.json"
"GSC X MOANG XAI LANDRACE","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/product/gsc-x-moang-xai-landrace","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"GSC X MOANG XAI LANDRACE","northcoastgenetics.com","25","EUR","https://northcoastgenetics.com/product/gsc-x-moang-xai-landrace","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\normalized\normalized.json"
"Harvest & Cure","northcoastgenetics.com","0","EUR","https://northcoastgenetics.com/category/harvest-cure","","C:\Users\kling\Desktop\SF-1_Sammelbecken\seedscan\out\route_samples\northcoastgenetics.com_wp-json_wp_v2_categories.json"
