"host","title","price","link","image","vendor","source_url","type","id","slug"
"aceseeds.org","Hangkrarok Manao Regular","55","https://www.aceseeds.org/semillas/hangkrarok-manao-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34147","hangkrarok-manao-semillas-regulares"
"aceseeds.org","HashPlant Haze x Malawi I+D Regular","65","https://www.aceseeds.org/semillas/hashplanthazexmalawi-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6267","hashplanthazexmalawi-semillas-regulares"
"aceseeds.org","Himalaya Snow Regular","50","https://www.aceseeds.org/semillas/himalaya-snow-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31325","himalaya-snow-semillas-regulares"
"aceseeds.org","Hokkaido Japón Regular","26","https://www.aceseeds.org/semillas/hokkaido-japon-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","3995","hokkaido-japon-semillas-regulares"
"aceseeds.org","Honduras Regular","35","https://www.aceseeds.org/semillas/honduras-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","2624","honduras-semillas-regulares"
"aceseeds.org","Honduras x Panama Feminizada","15","https://www.aceseeds.org/semillas/honduras-x-panama-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","32543","honduras-x-panama-semillas-feminizadas"
"aceseeds.org","Honduras x Panama Regular","35","https://www.aceseeds.org/semillas/hondurasxpanama-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","4114","hondurasxpanama-semillas-regulares"
"aceseeds.org","Juanita x ErdPurt I+D Regular","42.25","https://www.aceseeds.org/semillas/juanitaxerdpurt-semillas-regulares/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6377","juanitaxerdpurt-semillas-regulares"
"aceseeds.org","Juanita x Malawi I+D Feminizada","42.25","https://www.aceseeds.org/semillas/juanitaxmalawi-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6495","juanitaxmalawi-semillas-feminizadas"
"aceseeds.org","Kali China Feminizada","15","https://www.aceseeds.org/semillas/kali-china-semillas-feminizadas/","","","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","25952","kali-china-semillas-feminizadas"
