"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","199","congo-semillas-feminizadas","Congo Feminizada","1500","Congo_feminized_seeds","https://www.aceseeds.org/semillas/congo-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1719","congo-semillas-regulares","Congo Regular","3500","Congo_regular_seeds","https://www.aceseeds.org/semillas/congo-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6303","congosxa5haze-semillas-feminizadas","Congo x A5 Haze I+D Feminizada","6500","CongoxA5haze_feminized_seeds","https://www.aceseeds.org/semillas/congosxa5haze-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31963","congo-x-zamaldelica-id-semillas-regulares","Congo x Zamaldelica I+D Regular","5000","CongoxZamaldelica_regular-seeds","https://www.aceseeds.org/semillas/congo-x-zamaldelica-id-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","31287","creeper-gouge-semillas-regulares","Creeper Gouge Regular","","","https://www.aceseeds.org/semillas/creeper-gouge-semillas-regulares/","","","2025-06-28T08:41:38"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","30842","durban-poison-80s-semillas-regulares","Durban Poison 80s Regular","","","https://www.aceseeds.org/semillas/durban-poison-80s-semillas-regulares/","","","2025-10-06T17:06:56"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","31538","early-evil-haze-semillas-feminizadas","Early Evil Haze Feminizada","","","https://www.aceseeds.org/semillas/early-evil-haze-semillas-feminizadas/","","","2025-10-04T13:13:23"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","5770","eastern-manipur-semillas-regulares","Manipur Oriental &#8211; frontera con Myanmar Regular","","","https://www.aceseeds.org/semillas/eastern-manipur-semillas-regulares/","","","2025-10-04T19:02:58"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","247","erdpurt-semillas-feminizadas","ErdPurt Feminizada","750","ErdPurt_feminized_seeds","https://www.aceseeds.org/semillas/erdpurt-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","1747","erdpurt-semillas-regulares","ErdPurt Regular","1750","ErdPurt_regular_seeds","https://www.aceseeds.org/semillas/erdpurt-semillas-regulares/","","",""
