"host","title","price_norm","sku","link","image"
"aceseeds.org","Congo Feminizada","15","Congo_feminized_seeds","https://www.aceseeds.org/semillas/congo-semillas-feminizadas/",""
"aceseeds.org","Congo Regular","35","Congo_regular_seeds","https://www.aceseeds.org/semillas/congo-semillas-regulares/",""
"aceseeds.org","Congo x A5 Haze I+D Feminizada","65","CongoxA5haze_feminized_seeds","https://www.aceseeds.org/semillas/congosxa5haze-semillas-feminizadas/",""
"aceseeds.org","Congo x Zamaldelica I+D Regular","50","CongoxZamaldelica_regular-seeds","https://www.aceseeds.org/semillas/congo-x-zamaldelica-id-semillas-regulares/",""
"aceseeds.org","ErdPurt Feminizada","7,5","ErdPurt_feminized_seeds","https://www.aceseeds.org/semillas/erdpurt-semillas-feminizadas/",""
"aceseeds.org","ErdPurt Regular","17,5","ErdPurt_regular_seeds","https://www.aceseeds.org/semillas/erdpurt-semillas-regulares/",""
"aceseeds.org","ErdPurt x Panama I+D Feminizada","50","ErdPurtxPanama_feminized_seeds","https://www.aceseeds.org/semillas/erdpurtxpanama-semillas-feminizadas/",""
"aceseeds.org","Etíope Regular","35","Ethiopia_regular_seeds","https://www.aceseeds.org/semillas/etiopia-semillas-regulares/",""
"aceseeds.org","Golden Tiger Regular","35","Golden_Tiger_regular_seeds","https://www.aceseeds.org/semillas/golden-tiger-semillas-regulares/",""
"aceseeds.org","Golden Tiger x ErdPurt I+D Regular","50","GoldenTigerxErdPurt_regular","https://www.aceseeds.org/semillas/goldentigerxerdpurt-regular/",""
"aceseeds.org","Green Haze #19 x Zamaldelica I+D Regular","50","GreenHazexZamaldelica_regular_seeds","https://www.aceseeds.org/semillas/greenhazexzamaldelica-semillas-regulares/",""
"aceseeds.org","Guawi Feminizada","15","Guawi_feminized_seeds","https://www.aceseeds.org/semillas/guawi-semillas-feminizadas/",""
"aceseeds.org","Hangkrarok Champion Seeds Regular","30","Hangkrarok-Champion-regular-seeds","https://www.aceseeds.org/semillas/hangkrarok-champion-semillas-regulares/",""
"aceseeds.org","HashPlant Haze x Malawi I+D Regular","65","HashPlantHazexMalawi_regular_seeds","https://www.aceseeds.org/semillas/hashplanthazexmalawi-semillas-regulares/",""
"aceseeds.org","12 HashTonic Regular","500","HashTonic_regular_seeds-1","https://www.aceseeds.org/semillas/hashtonic-regular-copia/",""
"aceseeds.org","Haze X Kali China Feminizada","15","HazexKaliChina_feminized_seeds","https://www.aceseeds.org/semillas/hazexkalichina-semillas-feminizadas/",""
"aceseeds.org","Himalaya Snow Regular","50","Himalaya_Snow_regular_seeds","https://www.aceseeds.org/semillas/himalaya-snow-semillas-regulares/",""
"aceseeds.org","Honduras Regular","35","Honduras_regular_seeds","https://www.aceseeds.org/semillas/honduras-semillas-regulares/",""
"aceseeds.org","Juanita x ErdPurt I+D Regular","32,5","JuanitaxErdPurt_regular_seeds","https://www.aceseeds.org/semillas/juanitaxerdpurt-semillas-regulares/",""
"aceseeds.org","Juanita x Malawi I+D Feminizada","65","JuanitaxMalawi_feminized_seeds","https://www.aceseeds.org/semillas/juanitaxmalawi-semillas-feminizadas/",""
"aceseeds.org","Kali China Feminizada","15","Kali_China_feminized_seeds","https://www.aceseeds.org/semillas/kali-china-semillas-feminizadas/",""
"aceseeds.org","Kalidonia Feminizada","50","Kalidonia_feminized_seeds","https://www.aceseeds.org/semillas/kalidonia-semillas-feminizadas/",""
"aceseeds.org","Killer A5 Haze Feminizada","18","Killer_A5_Haze_feminized_seeds","https://www.aceseeds.org/semillas/killer-a5-haze-semillas-feminizadas/",""
"aceseeds.org","Lao Highland Regular","48","Lao_Highland_regular_seeds","https://www.aceseeds.org/semillas/lao-highland-semillas-regulares/",""
"aceseeds.org","Lavender x ErdPurt I+D Regular","65","LavenderxErdPurt_regular_seeds","https://www.aceseeds.org/semillas/lavenderxerdpurt-semillas-regulares/",""
"aceseeds.org","Líbano Regular","17,5","Lebanese_regular_seeds","https://www.aceseeds.org/semillas/libano-semillas-regulares/",""
"aceseeds.org","Malawi / PCK #47 morada x ErdPurt I+D Regular","50","MalawiPCKxErdPurt_regular_seeds","https://www.aceseeds.org/semillas/malawipckxerdpurt-semillas-regulares/",""
"aceseeds.org","Malawi / PCK #47 morada x Nueva Malawi asesina I+D Feminizada","50","MalawiPCKxNewMalawiKiller_feminized_seeds","https://www.aceseeds.org/semillas/malawipckxnewmalawikiller-fem/",""
"aceseeds.org","Malawi Feminizada","15","Malawi_feminized_seeds","https://www.aceseeds.org/semillas/malawi-semillas-feminizadas/",""
"aceseeds.org","Malawi Regular","45","Malawi_regular_seeds","https://www.aceseeds.org/semillas/malawi-semillas-regulares/",""
"aceseeds.org","Malawi x Panamá Regular","35","malawixpanama_regular_seeds","https://www.aceseeds.org/semillas/malawixpanama-semillas-regulares/",""
